variable,shap_medio_abs,ic_inferior,ic_superior,importancia_impureza
Country,0.4353509247303009,0.4198980927467346,0.44973552227020264,0.13286125659942627
WorkExp_num,0.13975971937179565,0.1356254518032074,0.1437271684408188,0.025283541530370712
YearsCode_num,0.0542711578309536,0.05260033160448074,0.05595584958791733,0.006732302252203226
income_group_High income,0.0423591285943985,0.0404525063931942,0.04433436319231987,0.09665481746196747
"OrgSize_10,000 or more employees",0.03538993373513222,0.033964093774557114,0.03703334555029869,0.010630970820784569
DevType,0.034199588000774384,0.03280382603406906,0.035810686647892,0.006989500019699335
OrgSize_Less than 20 employees,0.03388601168990135,0.03228351101279259,0.03542475774884224,0.01211355347186327
language__php,0.025592047721147537,0.024449577555060387,0.026749741286039352,0.01531487237662077
RemoteWork_Remote,0.0238037109375,0.023309925571084023,0.024355314671993256,0.006231614388525486
platform__homebrew,0.020146360620856285,0.01951931230723858,0.02089410275220871,0.011839928105473518
platform__amazon_web_services_(aws),0.018109088763594627,0.017799559980630875,0.018412938341498375,0.0109389778226614
Age_18-24 years old,0.01721407100558281,0.015959572046995163,0.018349912017583847,0.028089672327041626
language__html_css,0.01698162965476513,0.01665278524160385,0.017314959317445755,0.005855469033122063
platform__kubernetes,0.015162303112447262,0.014675479382276535,0.01565316691994667,0.013027647510170937
OrgSize_20 to 99 employees,0.014188912697136402,0.013736153952777386,0.014654897153377533,0.003755838144570589
"LearnCodeAI_Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",0.013508995063602924,0.01326549518853426,0.013726405799388885,0.004992049187421799
database__microsoft_sql_server,0.013307422399520874,0.012920788489282131,0.013702183961868286,0.008668006397783756
language__c#,0.013294496573507786,0.012969800271093845,0.0136372996494174,0.005749496631324291
"AIAgents_No, and I don't plan to",0.013105468824505806,0.012820370495319366,0.013418306596577168,0.005274611990898848
"OrgSize_1,000 to 4,999 employees",0.012481673620641232,0.011840381659567356,0.013111867941915989,0.003835010342299938
Industry_Software Development,0.012452326714992523,0.011933819390833378,0.01300650741904974,0.005332885775715113
RemoteWork_In-person,0.012113935314118862,0.011412147432565689,0.012845919467508793,0.01036105863749981
database__mariadb,0.011848794296383858,0.011321716010570526,0.012417778372764587,0.007322993129491806
database__mysql,0.011770312674343586,0.011431939899921417,0.012060961686074734,0.004377915058284998
"EdLevel_Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0.010900525376200676,0.010573456063866615,0.011242124252021313,0.00403141463175416
Industry_Fintech,0.010878159664571285,0.009959334507584572,0.011756760068237782,0.007140371482819319
language__rust,0.010642250999808311,0.010105838067829609,0.011213204823434353,0.004296926781535149
language__typescript,0.010587967000901699,0.01038599293678999,0.010790075175464153,0.0029195568058639765
language__go,0.010141300968825817,0.00973884854465723,0.010545026510953903,0.005596410483121872
language__n,0.00930103100836277,0.00883406214416027,0.009763376787304878,0.002753798384219408
database__redis,0.00893661193549633,,,0.006064527668058872
EdLevel_Some college/university study without earning a degree,0.008838767185807228,,,0.0034247199073433876
platform__terraform,0.008782834745943546,,,0.008684057742357254
language__powershell,0.008617536164820194,,,0.00377799104899168
platform__npm,0.00830798503011465,,,0.0027721463702619076
platform__prometheus,0.008207165636122227,,,0.005973508581519127
language__sql,0.007821418344974518,,,0.003277649637311697
ICorPM_People manager,0.007757026702165604,,,0.004959831014275551
database__elasticsearch,0.007069384679198265,,,0.006445745471864939
"OrgSize_5,000 to 9,999 employees",0.006842616479843855,,,0.004389932379126549
platform__n,0.006750152446329594,,,0.003065361175686121
language__c++,0.0065099564380943775,,,0.00286411726847291
