variable,shap_medio_abs,ic_inferior,ic_superior,importancia_impureza
Country,0.4222847521305084,0.4153520464897156,0.42986011505126953,0.13527150452136993
YearsCodePro_num,0.15830734372138977,0.1560927778482437,0.16049045324325562,0.035349879413843155
income_group_High income,0.0461132749915123,0.04497204348444939,0.047295309603214264,0.21329113841056824
DevType,0.03872952237725258,0.037916142493486404,0.03947368636727333,0.007231860421597958
"OrgSize_10,000 or more employees",0.03607020527124405,0.035199567675590515,0.036912962794303894,0.017209168523550034
YearsCode_num,0.03220218047499657,0.031645629554986954,0.03279592841863632,0.005048707593232393
language__php,0.03081483021378517,0.030196642503142357,0.031503137201070786,0.019976479932665825
platform__amazon_web_services_(aws),0.030155280604958534,0.02999962866306305,0.03030708245933056,0.02222878858447075
RemoteWork_Remote,0.023928388953208923,0.023692211136221886,0.02419326640665531,0.01069092657417059
language__typescript,0.02225024253129959,0.022072339430451393,0.022434387356042862,0.0057925013825297356
database__microsoft_sql_server,0.019106507301330566,0.018768614158034325,0.019426874816417694,0.00979284755885601
RemoteWork_In-person,0.019082963466644287,0.01854940503835678,0.01963510923087597,0.015279307961463928
"EdLevel_Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0.018518144264817238,0.018258314579725266,0.018764425069093704,0.004929622635245323
OrgSize_2 to 9 employees,0.018114203587174416,0.01748288981616497,0.018815914168953896,0.008140899240970612
WorkExp_num,0.01605749875307083,0.01567312516272068,0.01646839827299118,0.004131307825446129
language__html_css,0.015484648756682873,0.015380728989839554,0.015587130561470985,0.005477263126522303
OrgSize_20 to 99 employees,0.015451628714799881,0.015217108651995659,0.015704303979873657,0.004549902863800526
Industry_Financial Services,0.01502146478742361,0.014449911192059517,0.015575993806123734,0.006191521417349577
language__go,0.014931433834135532,0.014585464261472225,0.015323763713240623,0.009732354432344437
database__redis,0.01445657666772604,0.014172438532114029,0.01473011914640665,0.007602226920425892
OrgSize_10 to 19 employees,0.014115837402641773,0.013618037104606628,0.014642834663391113,0.005500704050064087
platform__google_cloud,0.013401022180914879,0.013148797675967216,0.013661772012710571,0.005687167402356863
"OrgSize_1,000 to 4,999 employees",0.012954357080161572,0.012590418569743633,0.01327987015247345,0.004198853857815266
database__mariadb,0.010872323997318745,0.010634910315275192,0.01112977322191,0.006614940240979195
language__c#,0.009350153617560863,0.00921235978603363,0.009493774734437466,0.004006071016192436
database__mysql,0.008806943893432617,0.008681570179760456,0.008923082612454891,0.005047102924436331
income_group_Lower middle income,0.008274422958493233,0.007928624749183655,0.008651085197925568,0.0315486341714859
language__rust,0.007800803519785404,0.0075850337743759155,0.008026368916034698,0.0041699656285345554
database__elasticsearch,0.007567327469587326,0.007384858559817076,0.00775515753775835,0.004838463384658098
"AISelect_No, and I don't plan to",0.007536526769399643,0.007457868196070194,0.007619002368301153,0.0023219555150717497
Age_18-24 years old,0.007464540656656027,,,0.007539129815995693
ICorPM_Individual contributor,0.007037258241325617,,,0.0025453653652220964
EdLevel_Some college/university study without earning a degree,0.007018670439720154,,,0.0028732395730912685
database__oracle,0.006545922718942165,,,0.00465420400723815
AISelect_Yes,0.00635418901219964,,,0.002646676730364561
