RMSE_log,MAE_log,MedAE_log,R2,RMSE_USD,MAE_USD,MedAE_USD,MAPE,modelo,codificacion,particion,segundos
0.8025143532131713,0.6027279151919723,0.48070360851174776,-6.682670375224298e-05,74722.90014244357,48777.37338905151,33116.57342141147,93.4099329823665,Baseline_media,target,0,0.1
0.8063299007435687,0.5998981211344441,0.46935904219497004,-0.009599051505751133,73299.44763120548,48567.29069958848,35107.99999999999,100.09188885390923,Baseline_mediana,target,0,0.1
0.40835654466059434,0.30049329541105196,0.22389687551561543,0.741058031683365,46197.344295648494,26253.602367290627,15269.18744033802,32.314275441121524,Ridge,target,0,0.2
0.37519971268977426,0.2738140508935395,0.20423331124241706,0.7814008854301687,43954.35266533868,24357.722001655442,14221.861659095544,29.067314613223672,HistGradientBoosting,target,0,0.9
0.37485366995424224,0.2730615658890338,0.2042545731773977,0.7818039227988491,43646.74688358858,24264.28566199283,14092.734375000022,29.15624073644798,XGBoost,target,0,0.7
0.3764603891678755,0.27428327909722716,0.20577528568688308,0.7799294251194342,43593.12369965299,24374.28362322605,14111.200184817077,29.328708117363767,LightGBM,target,0,0.5
0.3741286127320167,0.2712872885803903,0.19766151822115496,0.7826471939277003,43619.282748054095,24032.03106809424,13905.857750184357,28.92428115169442,CatBoost,target,0,2.8
0.8078865637113027,0.6079808213148697,0.47933081491645346,-1.4063738218439426e-07,80725.77344396239,50527.83331297048,34087.784138816096,92.57991823761131,Baseline_media,target,1,0.1
0.811377978681479,0.6058740395406214,0.4678542521132618,-0.008662148355085941,79237.14547707378,50372.94599934146,35269.00000000002,99.61532633158356,Baseline_mediana,target,1,0.1
0.40739659611068857,0.30083051621704127,0.22441579702822256,0.7457071889686993,50016.177948968994,27327.06909607662,15616.192650125198,32.44585312469764,Ridge,target,1,0.2
0.37938824797002074,0.2781710922390171,0.20601197430663465,0.7794703244955736,47777.067619457455,25653.419178444343,14287.304982993868,29.82599681559797,HistGradientBoosting,target,1,0.9
0.3750354860014959,0.27417286739580005,0.20302761339195285,0.7845016168259455,47022.93842968061,25267.503789686318,13953.597656250022,29.413032687918665,XGBoost,target,1,0.5
0.3771061659199832,0.2758400820244004,0.20420349351729872,0.7821153890212262,46533.93236559682,25359.905900882062,14333.245019198232,29.639617377689753,LightGBM,target,1,0.5
0.37592773174007393,0.27464034217334965,0.20068381269360813,0.7834750140395119,47574.68079370835,25398.037123926875,14142.694291766355,29.532398381546038,CatBoost,target,1,2.7
0.8182457735322243,0.6144896125654421,0.48439941900335803,-3.7850160144792255e-05,76031.48832594382,50089.94171963336,34518.91358804474,98.2274457574731,Baseline_media,target,2,0.1
0.8206124057153443,0.6099701436286027,0.4769233565465161,-0.005831083686536731,74605.43110387867,49753.05268356931,34803.99999999996,104.6174924719657,Baseline_mediana,target,2,0.1
0.40054063613630453,0.29695542639487643,0.22471998402589577,0.7603695171796114,45148.43522085773,26512.007038820444,15432.384258825867,31.688023193319875,Ridge,target,2,0.2
0.37715047263410545,0.27546452797468945,0.20457503534716537,0.7875394952398562,43271.52792887606,24831.239265216496,14258.267299402243,29.4619105832121,HistGradientBoosting,target,2,1.0
0.37479918133193485,0.27297307705662033,0.2000956345060647,0.79018034744994,43015.33231473913,24666.91248137393,14053.40820312499,29.082359494309664,XGBoost,target,2,0.5
0.3764817453390516,0.2742778710185089,0.20342960406261135,0.7882922567461657,42721.17126345174,24641.053988579202,14106.742341485296,29.387418494383244,LightGBM,target,2,0.5
0.3745055390652951,0.27310938932636303,0.2041687537023007,0.7905089916200372,43080.903122984935,24637.771281378955,14276.028871546929,29.197250767483485,CatBoost,target,2,2.7
0.8124243554506814,0.6110494180074714,0.4795235580482391,-6.615211691762823e-07,79416.83557559662,50510.50699370964,33701.999999999985,95.4382243953626,Baseline_media,target,3,0.1
0.8157786019512622,0.6086234897104891,0.46935904219497004,-0.008275088598024949,77950.8199186362,50330.56684227857,34491.00000000005,102.43516258706235,Baseline_mediana,target,3,0.1
0.4090419246338225,0.3003886646546849,0.22296747701444897,0.7465046106887503,48096.58867556233,26686.933802777563,15225.461789211728,32.237451514383345,Ridge,target,3,0.2
0.38371522614213355,0.2792544832973613,0.20699575203032872,0.776924187402433,45906.33051098857,25064.997148499486,14367.114299275185,29.81905355354857,HistGradientBoosting,target,3,0.7
0.37885560809688834,0.27560660419577887,0.20316623245973364,0.7825387605628813,45209.96870616767,24704.07673544031,14104.441406249967,29.419595841659373,XGBoost,target,3,0.5
0.3801679916704959,0.2759637665712015,0.20644114141869707,0.7810295477504745,44924.901980484196,24611.07281360601,13935.995493935794,29.508389313417627,LightGBM,target,3,0.6
0.3810570351922599,0.2769883724724555,0.2034546938307118,0.7800042016167943,45605.77318631919,24795.465028307462,13930.260924672271,29.631599962409112,CatBoost,target,3,2.8
0.8189796107582116,0.6124223975938079,0.47901445888157745,-5.296488892803097e-06,80107.5397501835,50644.75180292647,33849.80742297862,99.24763400518796,Baseline_media,target,4,0.1
0.8220071989480803,0.6091602525421297,0.47071587713810104,-0.007412563728178778,78644.89718008568,50402.20118538031,34421.499999999985,106.35668905525424,Baseline_mediana,target,4,0.1
0.40628198188825,0.30059028592284165,0.2250479976737747,0.7539002087078398,50278.03726532442,27170.57068916533,15666.09033879717,31.778772361089363,Ridge,target,4,0.2
0.3765841460141482,0.27572925725556124,0.2059001321437952,0.7885633906312062,47878.488907038634,25374.566514929356,14393.043453611215,29.09902353516006,HistGradientBoosting,target,4,0.8
0.37298359976790596,0.27259652245721905,0.20246211394907832,0.7925871815359018,47495.72396103144,25118.015857564646,14196.131835937489,28.714366268810977,XGBoost,target,4,0.5
0.37533200333461403,0.2747021114817115,0.20639457856676469,0.7899671069606444,47388.196206131805,25269.448254152525,14307.405551237127,28.9820113436286,LightGBM,target,4,0.5
0.3725902753342085,0.27236718350174977,0.20251289310835485,0.7930243992293017,47833.76910890975,25068.69240700095,14356.133829932209,28.651639329932355,CatBoost,target,4,2.7
0.8110041236758209,0.612465692982677,0.4899103595528924,-0.00020565194222088579,77201.74314613444,49808.97436724553,34276.63620003282,95.27604883218791,Baseline_media,target,5,0.1
0.8151246475914814,0.6100363677506068,0.477831980589718,-0.010395097482170268,75817.7344157896,49628.753086419754,35339.00000000001,102.03568657137045,Baseline_mediana,target,5,0.1
0.40475828143368736,0.3003049931750981,0.22421242144018372,0.7508650448637998,47308.168547208945,26649.6703116673,14985.547563483065,32.20139908349336,Ridge,target,5,0.2
0.3760372420332162,0.27657039510224213,0.20472182599833388,0.7849671074337363,44677.03478107841,24799.223009878584,14228.92567136923,29.464127865307137,HistGradientBoosting,target,5,0.9
0.37113319928025246,0.27255893007587234,0.20049220804798118,0.7905391844378236,44177.72875839367,24569.895217616704,14218.664062499956,28.994544913335684,XGBoost,target,5,0.5
0.37415873711258846,0.2747957591612795,0.2081666265460811,0.7871101472920233,43848.31547350125,24606.01747311275,14370.99644600619,29.301657209442812,LightGBM,target,5,0.6
0.3712631057874641,0.2734061498649377,0.20402305894908856,0.7903925250434652,44475.791179036096,24593.559725255644,14208.053714050242,29.044903742786733,CatBoost,target,5,2.7
0.8221065241544384,0.6159197969769271,0.47978502642781073,-2.1614104845468773e-05,79203.90725906179,50789.86095947186,34036.67862747025,97.97364644829555,Baseline_media,target,6,0.1
0.8249115057998916,0.6123184205475392,0.471600090150071,-0.006857291754933215,77716.67005200477,50521.71764899572,34999.999999999985,104.89994495889479,Baseline_mediana,target,6,0.1
0.40786332026328226,0.30078422094495655,0.22617769335660398,0.7538598289865184,48575.977793219405,27136.828753128982,15411.793152912222,32.04940346468707,Ridge,target,6,0.2
0.38186508568505523,0.2787405356198644,0.20703157469734101,0.7842389227889388,46573.467338482325,25434.42424685592,14658.447264940929,29.61629645310127,HistGradientBoosting,target,6,0.8
0.375958569192708,0.27381659099906813,0.20284587923822528,0.7908618926020947,45869.67676022013,25047.995040617217,14365.328124999978,29.070508095519997,XGBoost,target,6,0.5
0.37872930690944434,0.27586267322558167,0.20590855668715324,0.7877679233945627,45617.245248934065,25091.681000536293,14418.411629240843,29.373172856948287,LightGBM,target,6,0.6
0.37759384980873584,0.2741320382248661,0.2024004887690749,0.7890385891490629,46146.51332942387,25006.575356200803,14176.913038443327,29.173635663521647,CatBoost,target,6,3.0
0.8217790958515162,0.6147326926267747,0.4813424141977567,-1.8719717642667888e-07,78579.71507117148,50355.05294779796,34097.35159467183,99.20382446133586,Baseline_media,target,7,0.1
0.8248766122003444,0.6108523413497262,0.471600090150071,-0.007552958130935483,77132.91582837935,50065.91389529141,35163.99999999992,106.10388450384764,Baseline_mediana,target,7,0.1
0.4099172230096511,0.3031239547654526,0.22731755575915535,0.7511817484700588,47906.96507970791,26836.429943758085,15738.601001741816,32.800809894213955,Ridge,target,7,0.2
0.3848947853273826,0.2822569530208945,0.21140881285142665,0.7806316561949421,46076.2615621463,25331.693467534173,14832.78858975727,30.267203297507407,HistGradientBoosting,target,7,1.0
0.3811336805662503,0.27948510827576606,0.20933944844687957,0.7848979448952473,45662.58057218726,25080.664151972676,14761.839843749993,30.058690732292582,XGBoost,target,7,0.5
0.38338487270819566,0.2797931635906883,0.21018599615294598,0.7823494105220438,45551.47178508695,25133.452672005784,14560.30119567243,30.193663077353765,LightGBM,target,7,0.5
0.38043952253226104,0.27816067807039974,0.20779899029402138,0.7856807612869188,45700.92259525068,24905.088681034493,14516.797151201798,30.021395833122128,CatBoost,target,7,2.8
0.8132670939702406,0.6101194342344883,0.46435865642701657,-9.037568934955331e-05,79626.50457695592,50647.43978685328,33979.951274403946,96.19851443305622,Baseline_media,target,8,0.1
0.8160013375522968,0.6075768143791587,0.469819991949862,-0.006826385192155948,78091.56663411399,50459.336680935136,34268.000000000015,103.41410421619462,Baseline_mediana,target,8,0.1
0.4078138628496881,0.30081737319978247,0.22131923429898936,0.7485238421459842,49498.12539723472,27350.565579516187,15569.019403659924,31.968558476109166,Ridge,target,8,0.2
0.3796031539512611,0.2763824807832192,0.20582044558675783,0.7821124220487111,47178.07791860995,25448.329074038087,14491.036351178038,29.299163175068756,HistGradientBoosting,target,8,0.7
0.3742620286314703,0.27170588755299074,0.2027609534097783,0.7882007677047064,45987.07343931723,24941.61101322218,14279.527343749949,28.875358336843515,XGBoost,target,8,0.5
0.37779809160183814,0.2736652074932891,0.2012809239654647,0.7841796628573766,45807.41595375534,24999.34009578813,14156.874393032824,29.100809163391766,LightGBM,target,8,0.6
0.37869486963788646,0.27471192114978216,0.20419996755104375,0.7831538628414735,46644.966073600925,25170.25980811849,14328.913661163155,29.21227484474685,CatBoost,target,8,2.7
0.7916648516411117,0.5954212941099319,0.4615684453507036,-2.991207153080211e-07,76530.11673465381,48948.19283463608,32868.60452113056,90.2535851060261,Baseline_media,target,9,0.1
0.7950259822091249,0.5925517453194197,0.46243921045643255,-0.008509623888051987,75085.37892246527,48735.45307869608,34024.999999999985,96.83085899833985,Baseline_mediana,target,9,0.1
0.40190186203332634,0.2963418714781926,0.22421024346096274,0.7422744711752507,46780.21595923031,26153.236129368936,15344.338544592556,31.568782917782855,Ridge,target,9,0.2
0.37416261704230747,0.2733109155062581,0.20395757500381873,0.7766231348030639,44804.22196251961,24597.509943546895,14111.315275566161,29.05058347660884,HistGradientBoosting,target,9,0.8
0.3698564935645372,0.2699509588211312,0.20195235591136562,0.7817351009915944,44120.853669505006,24197.77947598113,13892.18994140623,28.667118875403013,XGBoost,target,9,0.5
0.37180019487548654,0.2714759311752228,0.20435743846582444,0.7794349844141639,43751.689814368954,24270.867393267894,14132.473081738171,28.948548968222067,LightGBM,target,9,0.5
0.370277925777898,0.27046271349556816,0.2039701218280472,0.7812374146375716,44324.70710204965,24262.344466754603,13851.153520916501,28.821110164963198,CatBoost,target,9,2.7
0.817298514220214,0.6164386966096003,0.4942524387710776,-3.946896592910143e-05,79016.27502953114,50913.88649355013,34520.385450424525,97.16900983074378,Baseline_media,target,10,0.1
0.8200262938469687,0.6126082708102685,0.48154936549009797,-0.006725984309492006,77524.43218164465,50628.8895473251,35163.99999999992,104.03846699774478,Baseline_mediana,target,10,0.1
0.4108631022946682,0.30099472871327804,0.22160550521028277,0.7472739531974507,47976.06248723009,26931.842509938728,15271.462848773248,32.030473723745786,Ridge,target,10,0.2
0.38356923791577796,0.27788247416417555,0.20428149175896948,0.779736132080201,45638.42500315139,25126.776897749456,14481.220012574995,29.568223310341462,HistGradientBoosting,target,10,0.7
0.3781782252402379,0.2747779055678452,0.2031947917326029,0.7858841778433815,44896.68636729804,24840.67956983025,14360.757812500022,29.064961033210974,XGBoost,target,10,0.5
0.3804428047040725,0.27578327771131567,0.20198456482834004,0.7833121944249861,44838.47237922257,24885.517466749134,14389.730987976669,29.362407573721484,LightGBM,target,10,0.5
0.37975363570265863,0.2751642980102734,0.20260795073006754,0.7840965397069461,45284.09723654557,24888.747146995593,14410.116999369668,29.181984185531086,CatBoost,target,10,2.8
0.8101101172560338,0.6093349471431501,0.47760401422996424,-0.00012172320756276278,81030.96189206297,50837.524303078426,33962.45622220662,92.7410866104263,Baseline_media,target,11,0.1
0.8126539843029951,0.6055408206775841,0.47071587713810104,-0.006412648819254629,79525.08793154472,50555.46690813303,34930.99999999994,99.44639114571856,Baseline_mediana,target,11,0.1
0.4049535632663591,0.30061370662277087,0.22690444947695987,0.7500948546332038,50680.8167684814,27656.461229967943,15596.246346228858,31.996472918706747,Ridge,target,11,0.2
0.3791621220927694,0.27789783324483713,0.20876118093337315,0.780913993544645,48490.89596255217,25858.39291863079,14478.26846868801,29.30892050123923,HistGradientBoosting,target,11,0.7
0.374703533828262,0.2734839357506778,0.20513287742886366,0.7860361881636366,48017.30131156804,25469.19268443108,14157.316406249985,28.92611321991992,XGBoost,target,11,0.5
0.37734397072396453,0.27527318046568106,0.20754531226253103,0.7830100704642672,47650.766596406655,25568.767223119226,14304.255225153185,29.141505449613575,LightGBM,target,11,0.5
0.37471620734702027,0.27462282831865653,0.2063311337379723,0.7860217142129193,48146.06231316702,25529.426764355343,14105.018980982131,29.076278921227654,CatBoost,target,11,2.7
0.814676500012107,0.6100123566369166,0.4657300090470695,-3.63333093864604e-05,77818.07035054654,49838.63537475619,33941.56393306808,96.2097520941209,Baseline_media,target,12,0.1
0.8183212090980031,0.6071568897913668,0.46935904219497004,-0.009004297101388392,76377.86819346124,49626.39644385907,34268.99999999997,103.13270550024032,Baseline_mediana,target,12,0.1
0.405399857881048,0.29836356821036614,0.22425403575598413,0.7523646813415759,47627.21620490587,26587.440802550405,15104.035263643567,32.12845909011649,Ridge,target,12,0.2
0.3770420992966391,0.27651986648285937,0.20785032961762173,0.7857972259624819,45275.740497700164,24943.30403092369,14301.94368933683,29.475164414496135,HistGradientBoosting,target,12,0.8
0.37159683964777485,0.2720594029096146,0.2042509811382871,0.7919396020887353,44427.05293624995,24593.11319113421,14124.492187500015,29.005200652560468,XGBoost,target,12,0.5
0.37322686570879887,0.272557211573989,0.20448880270877723,0.790110266263276,44185.59006531607,24566.537198551152,14071.625830868532,29.021797832979257,LightGBM,target,12,0.5
0.3732509100433266,0.27211585819681755,0.20141374726156513,0.790083222006843,44747.93828432646,24517.28423580074,14045.135967099064,29.0204137613899,CatBoost,target,12,2.8
0.8051377312396797,0.6041465919342581,0.4703765777671016,-0.00010292060384231583,77646.43094247076,49415.01592367379,33139.94740079801,95.62048339881282,Baseline_media,target,13,0.1
0.8090523020514313,0.6016063613416796,0.46935904219497004,-0.009851540818879068,76258.92800454711,49226.549226210074,34268.000000000015,102.46494846591419,Baseline_mediana,target,13,0.1
0.4127736639143784,0.3036809311528377,0.22631739397342354,0.7371377038542631,48503.95919438419,26794.379922769847,15559.479157097172,32.466578965870966,Ridge,target,13,0.2
0.38375903345312673,0.2791112427502775,0.20635544937584704,0.7727930772024815,46207.04232407164,24963.245690467425,14556.55337605994,29.777758565606387,HistGradientBoosting,target,13,0.8
0.3826563690339305,0.27788540305922943,0.20686063409787891,0.7740968800391912,45901.06287580722,24835.547931328234,14269.603515624978,29.742572995767336,XGBoost,target,13,0.5
0.38326227337968627,0.2778982721079838,0.2060249577815485,0.7733809162722983,45392.54160474435,24725.022181034295,14263.026227201139,29.730864840381155,LightGBM,target,13,0.5
0.3825656290361424,0.2783329513301657,0.20904855832528924,0.7742040049682246,46229.91472094019,24895.240738554126,14236.80106596315,29.755142598712997,CatBoost,target,13,2.8
0.8129197423920085,0.6087675342357761,0.4788790716867588,-1.4956781420050191e-06,75572.6767011444,49547.31722947213,33893.49999999997,97.17634345682133,Baseline_media,target,14,0.1
0.8162958076403223,0.6064132944256225,0.46935904219497004,-0.008324779149367023,74081.50300700963,49372.956042146856,34527.00000000006,104.30559530491867,Baseline_mediana,target,14,0.1
