modelo,r2_medio,r2_desv,parametros
XGBoost,0.7843,0.0019,"{""colsample_bytree"": 0.80221, ""learning_rate"": 0.06272, ""max_depth"": 6, ""min_child_weight"": 13, ""n_estimators"": 359, ""reg_alpha"": 0.16413, ""reg_lambda"": 3.96936, ""subsample"": 0.95219}"
XGBoost,0.7847,0.0016,"{""colsample_bytree"": 0.81218, ""learning_rate"": 0.02733, ""max_depth"": 7, ""min_child_weight"": 6, ""n_estimators"": 995, ""reg_alpha"": 0.9392, ""reg_lambda"": 0.26872, ""subsample"": 0.95702}"
XGBoost,0.7555,0.0031,"{""colsample_bytree"": 0.76967, ""learning_rate"": 0.15584, ""max_depth"": 11, ""min_child_weight"": 7, ""n_estimators"": 389, ""reg_alpha"": 0.00255, ""reg_lambda"": 0.33457, ""subsample"": 0.77084}"
XGBoost,0.7573,0.0027,"{""colsample_bytree"": 0.90901, ""learning_rate"": 0.18681, ""max_depth"": 9, ""min_child_weight"": 6, ""n_estimators"": 655, ""reg_alpha"": 0.09453, ""reg_lambda"": 1.30499, ""subsample"": 0.87697}"
XGBoost,0.7855,0.0016,"{""colsample_bytree"": 0.63471, ""learning_rate"": 0.02294, ""max_depth"": 8, ""min_child_weight"": 9, ""n_estimators"": 891, ""reg_alpha"": 0.02213, ""reg_lambda"": 17.22264, ""subsample"": 0.98498}"
XGBoost,0.7834,0.0007,"{""colsample_bytree"": 0.62589, ""learning_rate"": 0.05426, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 824, ""reg_alpha"": 4.9047, ""reg_lambda"": 0.41103, ""subsample"": 0.99065}"
XGBoost,0.7631,0.0003,"{""colsample_bytree"": 0.70552, ""learning_rate"": 0.01119, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 602, ""reg_alpha"": 0.32954, ""reg_lambda"": 1.66608, ""subsample"": 0.77911}"
XGBoost,0.7801,0.0028,"{""colsample_bytree"": 0.77645, ""learning_rate"": 0.07507, ""max_depth"": 9, ""min_child_weight"": 11, ""n_estimators"": 383, ""reg_alpha"": 0.00757, ""reg_lambda"": 4.73857, ""subsample"": 0.74711}"
XGBoost,0.7807,0.0009,"{""colsample_bytree"": 0.81615, ""learning_rate"": 0.08626, ""max_depth"": 3, ""min_child_weight"": 9, ""n_estimators"": 323, ""reg_alpha"": 0.07582, ""reg_lambda"": 3.99104, ""subsample"": 0.94334}"
XGBoost,0.7779,0.001,"{""colsample_bytree"": 0.66298, ""learning_rate"": 0.02115, ""max_depth"": 5, ""min_child_weight"": 19, ""n_estimators"": 347, ""reg_alpha"": 0.24349, ""reg_lambda"": 0.2519, ""subsample"": 0.87638}"
