iter	RMSE
446	0.3446	0.3059447	0.3064743383
448	0.3064709739
449	0.3064684557
450	0.3064558203
451	0.3064528281
452	0.306449727
453	0.3064468344
454	0.3064436729
455	0.3064411166
456	0.3064376315
457	0.3064344891
458	0.458	0.30594459	0.459	0.30594460	0.460	0.30593461	0461	0.305933462	0462	0.3059296538
463	0.3059253486
464	0.30592465	0.465	0.30466	0.306466	0.30467	0.306467	0.3059067232
468	0.3059035917
469	0.3058998876
470	0.3058963678
471	0.3058935439
472	0.3058883682
473	0.3058849513
474	0.3058809663
475	0.3058783266
476	0.3058729053
477	0.3058695
478	0.3058654156
479	0.3058619353
480	0.3058583637
481	0.3058568328
482	0.483	0.30634483	0.484	0.306339833
485	0.3063365443
486	0.306334486	0487	0.30633487	0.488	0.3063488	0.3489	0.3063489	0.3490	0.3063490	0.3491	0.306316083
492	0.3063085433
493	0.306301635
494	0.3062986401
495	0.3062957822
496	0.3062923227
497	0.3062889505
498	0.3062837576
499	0.3062803228
500	0.3062775337
501	0.3062744655
502	0.3062709019
503	0.306268263
504	0.3062657564
505	0.3062622107
506	0.3062576104
507	0.3062550891
508	0.3062512886
509	0.3062484431
510	0.3062452179
511	0.306243056
512	0.3062407253
513	0.3062335134
514	0.3062272815
515	0.3062249519
516	0.306221283
517	0.3062185114
518	0.3062153986
519	0.3062118829
520	0.3062073989
521	0.3062045098
522	0.3062019652
523	0.3061992415
524	0.3061959728
525	0.30619276
526	0.3061893709
527	0.3061862436
528	0.3061778452
529	0.30617560529530	0.3061679405
531	0.3061649651
532	0.30616143532533	0.30615801533534	0.30615450534535	0.30615234535536	0.3061493536	537	0.3061462537	538	0.3061398538	539	0.3061370539540	0.30613474540541	0.3061304295
542	0.3061253012
543	0.3061209217
544	0.3061185087
545	0.30611566545546	0.30611224546547	0.30610978547548	0.30610239548549	0.3060991549	550	0.306095550	551	0.3060924551	552	0.3060883552
553	0.3060848553	554	0.3060822554	0.305555366
555	0.305552138
556	0.305548351
557	0.305545581
558	0.3055416165
559	0.3055386626
560	0.3055320939
561	0.3055278193
562	0.3055237654
563	0.305520207
564	0.3055178445
565	0.3055151231
566	0.305512291
567	0.305568	0.30568	0.305569	0.30569	0.305570	0.30570	0.305571	0.3060186936
572	0.3060165891
573	0.3060121732
574	0.3060089971
575	0.306006816
576	0.3060033998
577	0.3059996981
578	0.3059965214
579	0.3059924557
580	0.3059901889
581	0.3059814474
582	0.3059778221
583	0.3059728945
584	0.3059687452
585	0.3059654107
586	0.3059617516
587	0.3059593225
588	0.3059515641
589	0.3059472166
590	0.3059437041
591	0.3059391297
592	0.3059353532
593	0.305931873
594	0.3059281497
595	0.3059249956
596	0.3059214489
597	0.3059120531
598	0.3059075781
599	0.3059046388
600	0.3059014344
601	0.3058982996
602	0.3058957049
603	0.3058924016
604	0.3058891038
605	0.3058847437
606	0.3058816601
607	0.3058769967
608	0.3058722724
609	0.30586912
610	0.3058658028
611	0.3058616295
612	0.3058554573
613	0.3058500039
614	0.3058464462
615	0.3058428809
616	0.3058387213
617	0.3058312152
618	0.3058247236
619	0.305820793
620	0.3058171572
621	0.305814013
622	0.3058101024
623	0.3058030324
624	0.3057967981
625	0.3057886558
626	0.3057852273
627	0.3057811685
628	0.3057777986
629	0.3057738959
630	0.3057703683
631	0.3057611719
632	0.3057572819
633	0.3057530114
634	0.3057484668
635	0.305745101
636	0.3057391458
637	0.3057325728
638	0.3057258961
639	0.3057223668
640	0.3057189669
641	0.3057079555
642	0.3057017956
643	0.3056981607
644	0.3056944774
645	0.3056910483
646	0.3056866643
647	0.305683285
648	0.3056794979
649	0.305674656
650	0.3056691081
651	0.3056653647
652	0.3056623309
653	0.3056548834
654	0.3056499445
655	0.305643755
656	0.3056389756
657	0.3056346919
658	0.3056306262
659	0.3056267299
660	0.3056213112
661	0.3056119692
662	0.3056085026
663	0.3056035194
664	0.3055995741
665	0.3055961716
666	0.3055915894
667	0.3055861398
668	0.3055823174
669	0.3055761291
670	0.3055654413
671	0.3055585092
672	0.3055546303
673	0.3055502821
674	0.3055457777
675	0.3055410213
676	0.3055365314
677	0.3055318588
678	0.3055271584
679	0.3055231911
680	0.305514896
681	0.3055111294
573
305308708
