familia,metrica,config_a,config_b,n_pares,media_a,media_b,diferencia,estadistico,p_valor,umbral_holm,significativo
HG_vs_baseline,MAE_log,CatBoost/onehot,Baseline_mediana/onehot,20,0.2856,0.606,-0.3204,0.0,1.91e-06,0.002632,True
HG_vs_baseline,MAE_log,HistGradientBoosting/onehot,Baseline_media/onehot,20,0.2903,0.6119,-0.3216,0.0,1.91e-06,0.002778,True
HG_vs_baseline,MAE_log,HistGradientBoosting/onehot,Baseline_mediana/onehot,20,0.2903,0.606,-0.3157,0.0,1.91e-06,0.002941,True
HG_vs_baseline,MAE_log,LightGBM/onehot,Baseline_media/onehot,20,0.2893,0.6119,-0.3226,0.0,1.91e-06,0.003125,True
HG_vs_baseline,MAE_log,LightGBM/onehot,Baseline_mediana/onehot,20,0.2893,0.606,-0.3166,0.0,1.91e-06,0.003333,True
HG_vs_baseline,MAE_log,Ridge/onehot,Baseline_media/onehot,20,0.3078,0.6119,-0.3042,0.0,1.91e-06,0.003571,True
HG_vs_baseline,MAE_log,Ridge/onehot,Baseline_mediana/onehot,20,0.3078,0.606,-0.2982,0.0,1.91e-06,0.003846,True
HG_vs_baseline,MAE_log,XGBoost/onehot,Baseline_media/onehot,20,0.2871,0.6119,-0.3248,0.0,1.91e-06,0.004167,True
HG_vs_baseline,MAE_log,XGBoost/onehot,Baseline_mediana/onehot,20,0.2871,0.606,-0.3189,0.0,1.91e-06,0.004545,True
HG_vs_baseline,MAE_log,CatBoost/target,Baseline_media/target,20,0.2816,0.6119,-0.3303,0.0,1.91e-06,0.005,True
HG_vs_baseline,MAE_log,CatBoost/target,Baseline_mediana/target,20,0.2816,0.606,-0.3244,0.0,1.91e-06,0.005556,True
HG_vs_baseline,MAE_log,HistGradientBoosting/target,Baseline_media/target,20,0.2863,0.6119,-0.3256,0.0,1.91e-06,0.00625,True
HG_vs_baseline,MAE_log,HistGradientBoosting/target,Baseline_mediana/target,20,0.2863,0.606,-0.3197,0.0,1.91e-06,0.007143,True
HG_vs_baseline,MAE_log,LightGBM/target,Baseline_media/target,20,0.285,0.6119,-0.3269,0.0,1.91e-06,0.008333,True
HG_vs_baseline,MAE_log,LightGBM/target,Baseline_mediana/target,20,0.285,0.606,-0.321,0.0,1.91e-06,0.01,True
HG_vs_baseline,MAE_log,Ridge/target,Baseline_media/target,20,0.3082,0.6119,-0.3037,0.0,1.91e-06,0.0125,True
HG_vs_baseline,MAE_log,Ridge/target,Baseline_mediana/target,20,0.3082,0.606,-0.2977,0.0,1.91e-06,0.016667,True
HG_vs_baseline,MAE_log,XGBoost/target,Baseline_media/target,20,0.2823,0.6119,-0.3296,0.0,1.91e-06,0.025,True
HG_vs_baseline,MAE_log,XGBoost/target,Baseline_mediana/target,20,0.2823,0.606,-0.3236,0.0,1.91e-06,0.05,True
lineal_vs_ensamblado,MAE_log,Ridge/onehot,CatBoost/onehot,20,0.3078,0.2856,0.0222,0.0,1.91e-06,0.00625,True
lineal_vs_ensamblado,MAE_log,Ridge/onehot,HistGradientBoosting/onehot,20,0.3078,0.2903,0.0175,0.0,1.91e-06,0.007143,True
lineal_vs_ensamblado,MAE_log,Ridge/onehot,LightGBM/onehot,20,0.3078,0.2893,0.0184,0.0,1.91e-06,0.008333,True
lineal_vs_ensamblado,MAE_log,Ridge/onehot,XGBoost/onehot,20,0.3078,0.2871,0.0206,0.0,1.91e-06,0.01,True
lineal_vs_ensamblado,MAE_log,Ridge/target,CatBoost/target,20,0.3082,0.2816,0.0266,0.0,1.91e-06,0.0125,True
lineal_vs_ensamblado,MAE_log,Ridge/target,HistGradientBoosting/target,20,0.3082,0.2863,0.0219,0.0,1.91e-06,0.016667,True
lineal_vs_ensamblado,MAE_log,Ridge/target,LightGBM/target,20,0.3082,0.285,0.0232,0.0,1.91e-06,0.025,True
lineal_vs_ensamblado,MAE_log,Ridge/target,XGBoost/target,20,0.3082,0.2823,0.0259,0.0,1.91e-06,0.05,True
