familia,metrica,config_a,config_b,n_pares,media_a,media_b,diferencia,estadistico,p_valor,umbral_holm,significativo
HG_vs_baseline,MAE_log,CatBoost/onehot,Baseline_mediana/onehot,20,0.2766,0.6093,-0.3327,0.0,1.91e-06,0.002632,True
HG_vs_baseline,MAE_log,HistGradientBoosting/onehot,Baseline_media/onehot,20,0.2776,0.6122,-0.3346,0.0,1.91e-06,0.002778,True
HG_vs_baseline,MAE_log,HistGradientBoosting/onehot,Baseline_mediana/onehot,20,0.2776,0.6093,-0.3317,0.0,1.91e-06,0.002941,True
HG_vs_baseline,MAE_log,LightGBM/onehot,Baseline_media/onehot,20,0.2749,0.6122,-0.3373,0.0,1.91e-06,0.003125,True
HG_vs_baseline,MAE_log,LightGBM/onehot,Baseline_mediana/onehot,20,0.2749,0.6093,-0.3344,0.0,1.91e-06,0.003333,True
HG_vs_baseline,MAE_log,Ridge/onehot,Baseline_media/onehot,20,0.2978,0.6122,-0.3144,0.0,1.91e-06,0.003571,True
HG_vs_baseline,MAE_log,Ridge/onehot,Baseline_mediana/onehot,20,0.2978,0.6093,-0.3115,0.0,1.91e-06,0.003846,True
HG_vs_baseline,MAE_log,XGBoost/onehot,Baseline_media/onehot,20,0.2769,0.6122,-0.3353,0.0,1.91e-06,0.004167,True
HG_vs_baseline,MAE_log,XGBoost/onehot,Baseline_mediana/onehot,20,0.2769,0.6093,-0.3324,0.0,1.91e-06,0.004545,True
HG_vs_baseline,MAE_log,CatBoost/target,Baseline_media/target,20,0.2747,0.6122,-0.3375,0.0,1.91e-06,0.005,True
HG_vs_baseline,MAE_log,CatBoost/target,Baseline_mediana/target,20,0.2747,0.6093,-0.3346,0.0,1.91e-06,0.005556,True
HG_vs_baseline,MAE_log,HistGradientBoosting/target,Baseline_media/target,20,0.2774,0.6122,-0.3348,0.0,1.91e-06,0.00625,True
HG_vs_baseline,MAE_log,HistGradientBoosting/target,Baseline_mediana/target,20,0.2774,0.6093,-0.3319,0.0,1.91e-06,0.007143,True
HG_vs_baseline,MAE_log,LightGBM/target,Baseline_media/target,20,0.2755,0.6122,-0.3367,0.0,1.91e-06,0.008333,True
HG_vs_baseline,MAE_log,LightGBM/target,Baseline_mediana/target,20,0.2755,0.6093,-0.3338,0.0,1.91e-06,0.01,True
HG_vs_baseline,MAE_log,Ridge/target,Baseline_media/target,20,0.3006,0.6122,-0.3116,0.0,1.91e-06,0.0125,True
HG_vs_baseline,MAE_log,Ridge/target,Baseline_mediana/target,20,0.3006,0.6093,-0.3087,0.0,1.91e-06,0.016667,True
HG_vs_baseline,MAE_log,XGBoost/target,Baseline_media/target,20,0.2743,0.6122,-0.3379,0.0,1.91e-06,0.025,True
HG_vs_baseline,MAE_log,XGBoost/target,Baseline_mediana/target,20,0.2743,0.6093,-0.335,0.0,1.91e-06,0.05,True
lineal_vs_ensamblado,MAE_log,Ridge/onehot,CatBoost/onehot,20,0.2978,0.2766,0.0212,0.0,1.91e-06,0.00625,True
lineal_vs_ensamblado,MAE_log,Ridge/onehot,HistGradientBoosting/onehot,20,0.2978,0.2776,0.0202,0.0,1.91e-06,0.007143,True
lineal_vs_ensamblado,MAE_log,Ridge/onehot,LightGBM/onehot,20,0.2978,0.2749,0.0228,0.0,1.91e-06,0.008333,True
lineal_vs_ensamblado,MAE_log,Ridge/onehot,XGBoost/onehot,20,0.2978,0.2769,0.0209,0.0,1.91e-06,0.01,True
lineal_vs_ensamblado,MAE_log,Ridge/target,CatBoost/target,20,0.3006,0.2747,0.0259,0.0,1.91e-06,0.0125,True
lineal_vs_ensamblado,MAE_log,Ridge/target,HistGradientBoosting/target,20,0.3006,0.2774,0.0232,0.0,1.91e-06,0.016667,True
lineal_vs_ensamblado,MAE_log,Ridge/target,LightGBM/target,20,0.3006,0.2755,0.0251,0.0,1.91e-06,0.025,True
lineal_vs_ensamblado,MAE_log,Ridge/target,XGBoost/target,20,0.3006,0.2743,0.0263,0.0,1.91e-06,0.05,True
