RMSE_log,MAE_log,MedAE_log,R2,RMSE_USD,MAE_USD,MedAE_USD,MAPE,modelo,codificacion,particion,segundos
0.8246816000041771,0.6192494498695178,0.49384628769167094,-1.7977604882757348e-05,81932.63426963442,51419.4879116028,34490.904830604486,98.41888216120958,Baseline_media,target,0,0.2
0.8274531728847961,0.6161907610863325,0.4810492468617973,-0.006750952156535428,80481.18207406234,51192.38289036545,35124.99999999998,105.36648824106128,Baseline_mediana,target,0,0.2
0.40939998977728564,0.3030194328155816,0.22730262804101375,0.7535488478720539,51128.434042875626,27466.27883238041,15540.783135738086,32.480208427848375,Ridge,target,0,0.2
0.38224434428479065,0.28044440299077666,0.20877956404893183,0.7851589163066167,49055.07739822862,25880.83757874934,14778.298356489464,29.816179116302166,HistGradientBoosting,target,0,1.3
0.3771809983225226,0.2764657198793795,0.2058743886494403,0.7908129434091492,48387.203393552816,25516.78967094548,14437.976562500087,29.273593977136642,XGBoost,target,0,0.9
0.37964182652731976,0.2786972259493655,0.2081256471609363,0.7880744562111994,48244.88452383604,25630.588817611842,14426.464987727793,29.580278518403492,LightGBM,target,0,0.6
0.3798964439656309,0.2773433243126632,0.2021097174934301,0.7877900932660562,49021.68778542283,25539.92086944751,14357.08364899751,29.476718559651772,CatBoost,target,0,3.9
0.8117389507582669,0.6129997367712918,0.4833011907415523,-7.877362357966433e-07,79121.63319587964,50728.980148332106,34087.420342565405,94.53340491123146,Baseline_media,target,1,0.2
0.8147121469352876,0.6098985533657678,0.47253641380164524,-0.007339707610791502,77693.97562649133,50498.72491694352,35091.00000000004,101.0891168793243,Baseline_mediana,target,1,0.2
0.40539367002816384,0.29961618247710187,0.22192318532608368,0.750585615572699,47980.595096268924,26910.84006823679,15164.87855548893,31.47557216356855,Ridge,target,1,0.2
0.3770702955774353,0.2763163076521962,0.20711806489254325,0.7842194909646794,45785.15127566837,25232.52983849515,14176.991596823393,29.02605777516435,HistGradientBoosting,target,1,1.8
0.3761899593698868,0.2748755883180273,0.2025637336893622,0.7852258690887803,45638.748487978955,25049.29759395763,14062.414062500018,28.867607438990056,XGBoost,target,1,0.6
0.37607519525479166,0.27566253761905707,0.20667650560824757,0.7853568912106237,45254.61959375803,25059.43164490819,14456.23521892028,28.95949554213383,LightGBM,target,1,0.7
0.37634801248863853,0.27503827520659024,0.2035792607501561,0.7850453600061751,46004.98890606246,25121.57151268449,13840.455082642573,28.844424756859908,CatBoost,target,1,4.2
0.8188960114090866,0.6156295894688738,0.4814924044089981,-0.00015253877188259324,77392.81403162704,50048.32896714763,34293.026477204025,97.85243269225386,Baseline_media,target,2,0.2
0.822649740897767,0.6130644868959406,0.471600090150071,-0.009342733082251531,76022.57242325124,49857.74680179432,34966.0000000001,104.5768953125489,Baseline_mediana,target,2,0.2
0.4036650380022997,0.299993176245657,0.2276313615481662,0.7569749716573153,46930.68304829054,26541.389373908452,15535.910832480979,32.52649359189412,Ridge,target,2,0.3
0.37656453456610955,0.2744524779156027,0.20401802528864366,0.7885111088202679,44684.568714710986,24569.77675532287,14288.343071821073,29.639566951047897,HistGradientBoosting,target,2,2.3
0.37186241543907617,0.2713841991074232,0.202453148717888,0.7937598091202009,43917.03648461612,24331.58478611675,14270.199218749978,29.36552520508175,XGBoost,target,2,0.9
0.37342921712769206,0.2723738410146977,0.20713306835338763,0.7920182067525964,43567.89201315454,24351.980690425986,14549.150317135849,29.53063976089561,LightGBM,target,2,0.8
0.37292497045694606,0.27244984706628367,0.20473554717167275,0.7925795089513379,44261.33073085492,24281.043479835796,14158.142894609991,29.406793724250434,CatBoost,target,2,4.6
0.8111595024943381,0.6108939449647479,0.47806626652165995,-9.123428691681923e-05,78317.06012191127,50411.32106767843,33991.41004169927,95.30024667169414,Baseline_media,target,3,0.2
0.8137114082641715,0.6075978058061038,0.471600090150071,-0.006393701542973584,76817.65169945562,50166.82688154178,35163.99999999992,102.13033804828744,Baseline_mediana,target,3,0.2
